Index,Name,Position,Height,Weight,Forty,Vertical,Benchpress,Broadjump,Cone,Shuttle,Games,Probowls
0,A.J. Edds,OLB,76,246,4.62,33,16,117,7.19,4.28,0,0
1,A.J. Hawk,OLB,73,248,4.59,40,24,115,6.82,3.96,159,0
2,A.J. Nicholson,OLB,73,252,4.88,33.09999847,25,116,7.37,4.43,2,0
3,Aaron Curry,OLB,74,254,4.52,37,25,124,7.15,4.51,48,0
4,Abdul Hodge,ILB,72,236,4.76,31,21.70000076,108,7.09,4.3,35,0
5,Adam Seward,ILB,74,248,4.6,36.5,33,120,7.16,4.11,43,0
6,Adrian Moten,OLB,74,228,4.53,31,18,114,7.05,4.21,13,0
7,Adrian Tracy,OLB,75,248,4.76,35.5,20,110,7.08,4.34,0,0
8,Akeem Ayers,OLB,74,254,4.81,31,18,116,7.49,4.28,97,0
9,Akin Ayodele,OLB,74,257,4.81,35,26,121,7,4.12,143,0
10,Albert McClellan,ILB,73,247,4.75,36.5,26,119,7.24,4.21,0,0
11,Alfred Fincher,ILB,73,238,4.68,31.5,25,112,7.69,4.45,38,0
12,Ali Highsmith,OLB,72,230,4.95,26.5,21.70000076,112,7.4,4.29,20,0
13,Alvin Bowen,OLB,73,223,4.79,34,15,119,7.21,4.3,0,0
14,Andre O'Neal,ILB,73,235,4.72,34,16,114,7.3,4.24,19,0
15,Angelo Crowell,ILB,72,236,4.73,32.5,25,113.5999985,7.08,4.29,65,0
16,Anthony Schlegel,ILB,72,250,4.88,32,21,111,7.41,4.38,17,0
17,Antwan Barnes,OLB,73,240,4.43,35,31,122,7.29,4.32,88,0
18,Antwan Peek,OLB,75,246,4.65,37,21,125,7.07,4.35,65,0
19,Arthur Moats,OLB,72,246,4.64,36.5,24,122,7.22,4.37,121,0
20,Audie Cole,ILB,76,246,4.76,35,15,114,6.96,4.29,57,0
21,Barrett Ruud,ILB,74,241,4.75,34.5,25,112,7.22,3.94,116,0
22,Ben Leber,OLB,75,244,4.62,32.5,20,114,6.75,4.25,143,0
23,Ben Taylor,ILB,74,236,4.83,35.5,19,120,6.56,4.09,49,0
24,Billy Strother,OLB,72,241,4.68,33,21.70000076,112,7.41,4.15,3,0
25,Boomer Grigsby,ILB,72,249,4.6,35.5,32,112,7.1,4.400000095,45,0
26,Bradie James,ILB,74,242,4.71,32.5,21.70000076,113,7.53,4.54,157,0
27,Brandon Chillar,OLB,75,253,4.71,33,23,115,7.300000191,4.08,97,0
28,Brandon Johnson,OLB,77,228,4.44,37,11,118,7.17,4.34,87,0
29,Brandon Spoon,ILB,74,245,4.75,35.5,33,110,7.3,4.15,14,0
30,Brian Cushing,OLB,75,243,4.64,35,30,120,6.84,4.22,104,1
31,Brian Rolle,OLB,70,229,4.53,33,28,115,6.89,4.26,20,0
32,Brian Urlacher,OLB,76,258,4.59,34,27,122,6.94,4.18,182,8
33,Brooks Reed,OLB,74,263,4.65,30.5,30,113,7.11,4.28,131,0
34,Bruce Davis,OLB,75,252,4.78,29,19,109,7.34,4.47,15,0
35,Bruce Irvin,OLB,75,245,4.41,33.5,23,123,6.7,4.03,131,0
36,Bruce Miller,OLB,73,254,4.81,31,35,113,7.05,4.34,85,0
37,Bryan Kehl,OLB,74,242,4.67,34,26,119,6.88,4.23,72,0
38,Bryan Smith,OLB,74,231,4.74,32.5,17,120,7.22,4.4,0,0
39,Caleb McSurdy,ILB,73,245,4.82,30,26,110,7.26,4.28,0,0
40,Caleb Miller,ILB,75,224,4.66,34.5,23,120,6.85,3.93,39,0
41,Cameron Sheffield,OLB,74,257,4.92,33,21.70000076,115,7.23,4.53,0,0
42,Cameron Wake,OLB,75,236,4.65,45.5,20,130,7.12,4.11,0,0
43,Chad Greenway,OLB,74,242,4.76,33.5,16,117,7,4.22,0,0
44,Chaun Thompson,OLB,74,240,4.58,35.5,29,123,7.01,4.22,98,0
45,Chris White,ILB,75,240,4.65,34,17,115,6.95,4.25,51,0
46,Clark Haggans,OLB,75,253,4.97,31.5,20,109,7.12,4.21,172,0
47,Clay Matthews,OLB,75,240,4.58,35.5,23,121,6.9,4.18,156,6
48,Cliff Avril,OLB,75,253,4.51,32.5,27,117,6.9,4.51,140,1
49,Clint Ingram,OLB,74,244,4.65,41,22,113.5999985,7.12,4.1,56,0
50,Clint Sintim,OLB,75,256,4.75,34.5,21.70000076,119,7.37,4.4,24,0
51,Cody Brown,OLB,74,244,4.76,36.5,26,120,7.1,4.4,0,0
52,Cody Spencer,ILB,74,242,4.65,34.5,27,116,6.94,4.08,50,0
53,Colby Bockwoldt,OLB,74,230,4.6,34,14,112,7.12,4.05,49,0
54,Colin McCarthy,ILB,73,238,4.59,36.5,23,119,6.93,4.2,36,0
55,Connor Barwin,OLB,76,256,4.47,40.5,21,128,6.87,4.18,142,1
56,Corey Atkins,OLB,72,237,4.72,31,21,112,7.96,4.39,12,0
57,Cornelius Wortham,OLB,73,236,4.71,37,22,110,7.300000191,4.38,8,0
58,Courtland Bullard,OLB,75,234,4.69,36.5,21.70000076,123,6.99,4.28,20,0
59,Courtney Watson,OLB,73,237,4.56,36.5,22,114,7.39,4.35,21,0
60,Curtis Gatewood,OLB,74,248,4.72,28.5,22,111,6.9,4.22,7,0
61,Curtis Lofton,ILB,72,246,4.79,24.5,23,105,7.69,4.56,128,0
62,D'Qwell Jackson,ILB,72,230,4.73,37,19,116,7.05,4.36,141,1
63,D.J. Smith,OLB,71,239,4.71,31,20,104,7.35,4.45,24,0
64,DaShon Polk,OLB,74,233,4.75,32,18,111,7.43,4.45,95,0
65,Dannell Ellerbe,ILB,73,236,4.63,35,21.70000076,118,7,4.23,80,0
66,Darius Fleming,OLB,74,245,4.71,33.5,27,114,7.03,4.28,0,0
67,Darry Beckwith,ILB,72,242,4.63,26.5,23,110,7.39,4.5,0,0
68,Darryl Blackstock,OLB,75,247,4.7,39,25,126,7.05,4.29,74,0
69,David Harris,ILB,74,243,4.59,33,23,107,7.25,4.29,164,0
70,David Thornton,OLB,74,236,4.62,35.5,26,117,6.93,4.09,121,0
71,DeMarcus Ware,OLB,76,251,4.56,38.5,27,122,6.83,4.07,178,9
72,DeMeco Ryans,OLB,73,236,4.65,39,23,129,7.19,4.17,140,2
73,Dekoda Watson,OLB,73,240,4.55,40,24,134,7.06,4.11,108,0
